start	end	probability	word	source_pass	segment_id
0.000	0.200	0.569336	Thông	verification-00m00-05m30.large-v3	0
0.200	0.340	0.999512	tin	verification-00m00-05m30.large-v3	0
0.340	0.580	0.996582	cho	verification-00m00-05m30.large-v3	0
0.580	1.080	0.963867	Bộ	verification-00m00-05m30.large-v3	0
1.080	1.220	0.975586	Xây	verification-00m00-05m30.large-v3	0
1.220	1.440	0.972168	Dựng	verification-00m00-05m30.large-v3	0
1.440	1.840	0.935547	để	verification-00m00-05m30.large-v3	0
1.840	2.480	0.996582	làm	verification-00m00-05m30.large-v3	0
2.480	3.060	0.994629	mấy	verification-00m00-05m30.large-v3	0
3.060	3.180	0.982422	cái	verification-00m00-05m30.large-v3	0
3.180	3.420	0.992188	chuyển	verification-00m00-05m30.large-v3	0
3.420	3.560	1.000000	đổi	verification-00m00-05m30.large-v3	0
3.560	3.760	1.000000	số	verification-00m00-05m30.large-v3	0
3.760	4.640	0.945312	ở	verification-00m00-05m30.large-v3	0
4.640	4.840	0.999512	Việt	verification-00m00-05m30.large-v3	0
4.840	5.080	1.000000	Nam	verification-00m00-05m30.large-v3	0
5.080	5.400	0.970215	thì	verification-00m00-05m30.large-v3	0
5.400	5.720	0.993164	nó	verification-00m00-05m30.large-v3	0
5.720	5.980	1.000000	có	verification-00m00-05m30.large-v3	0
5.980	6.100	0.981445	một	verification-00m00-05m30.large-v3	0
6.100	6.220	0.997070	cái	verification-00m00-05m30.large-v3	0
6.220	6.740	0.998047	mảng	verification-00m00-05m30.large-v3	0
6.740	6.840	0.996094	mà	verification-00m00-05m30.large-v3	0
6.840	6.980	1.000000	nó	verification-00m00-05m30.large-v3	0
6.980	7.240	1.000000	liên	verification-00m00-05m30.large-v3	0
7.240	7.420	1.000000	quan	verification-00m00-05m30.large-v3	0
7.420	7.640	1.000000	đến	verification-00m00-05m30.large-v3	0
7.640	7.880	0.992676	cái	verification-00m00-05m30.large-v3	0
7.880	8.580	0.988770	hệ	verification-00m00-05m30.large-v3	0
8.580	8.880	1.000000	thống	verification-00m00-05m30.large-v3	0
8.880	9.240	0.999023	cơ	verification-00m00-05m30.large-v3	0
9.240	9.400	1.000000	sở	verification-00m00-05m30.large-v3	0
9.400	9.600	0.998047	dữ	verification-00m00-05m30.large-v3	0
9.600	9.820	1.000000	liệu	verification-00m00-05m30.large-v3	0
9.820	10.020	0.999023	và	verification-00m00-05m30.large-v3	0
